ts,current_bytes,peak_bytes
1781155716,2122506240,2566107136
1781155717,2122506240,2566107136
1781155718,2122510336,2566107136
1781155719,2122506240,2566107136
1781155720,2122510336,2566107136
1781155721,2122510336,2566107136
1781155722,2122522624,2566107136
1781155723,2122510336,2566107136
1781155724,2122514432,2566107136
1781155725,2122510336,2566107136
1781155726,2122518528,2566107136
1781155727,2122514432,2566107136
1781155728,2122555392,2566107136
1781155729,2122551296,2566107136
1781155730,2122448896,2566107136
1781155731,2122461184,2566107136
1781155732,2122465280,2566107136
1781155733,2122457088,2566107136
1781155734,2122469376,2566107136
1781155735,2122530816,2566107136
1781155736,2122518528,2566107136
1781155737,2122526720,2566107136
1781155738,2122489856,2566107136
1781155739,2122498048,2566107136
1781155740,2122530816,2566107136
1781155741,2122530816,2566107136
1781155742,2122526720,2566107136
1781155743,2122534912,2566107136
1781155744,2122526720,2566107136
1781155745,2122534912,2566107136
1781155746,2122547200,2566107136
1781155747,2139062272,2566107136
1781155748,2139041792,2566107136
1781155749,2139095040,2566107136
1781155750,2139598848,2566107136
1781155752,2139340800,2566107136
1781155753,2139111424,2566107136
1781155754,2139054080,2566107136
1781155755,2139013120,2566107136
1781155756,2139009024,2566107136
1781155757,2139013120,2566107136
1781155758,2124914688,2566107136
1781155759,2124640256,2566107136
1781155760,2124652544,2566107136
1781155761,2124910592,2566107136
1781155762,2125168640,2566107136
1781155763,2125189120,2566107136
1781155764,2124947456,2566107136
1781155765,2124718080,2566107136
1781155766,2124718080,2566107136
1781155767,2124808192,2566107136
1781155768,2125086720,2566107136
1781155769,2124800000,2566107136
1781155770,2124816384,2566107136
1781155771,2124812288,2566107136
1781155772,2124808192,2566107136
1781155773,2124808192,2566107136
1781155774,2124812288,2566107136
1781155775,2146344960,2566107136
1781155776,2142195712,2566107136
1781155777,2142470144,2566107136
1781155778,2142232576,2566107136
1781155779,2142490624,2566107136
1781155780,2142502912,2566107136
1781155781,2144096256,2566107136
1781155782,2143846400,2566107136
1781155783,2143858688,2566107136
1781155784,2143887360,2566107136
1781155785,2128732160,2566107136
1781155786,2128719872,2566107136
1781155787,2128723968,2566107136
1781155788,2128732160,2566107136
1781155789,2128732160,2566107136
1781155790,2128752640,2566107136
1781155791,2155704320,2566107136
1781155792,2141302784,2566107136
1781155793,2141306880,2566107136
1781155794,2141519872,2566107136
1781155795,2141331456,2566107136
1781155796,2141982720,2566107136
1781155797,2141544448,2566107136
1781155798,2141532160,2566107136
1781155799,2141544448,2566107136
1781155800,2141569024,2566107136
1781155801,2141560832,2566107136
1781155802,2127732736,2566107136
1781155803,2127736832,2566107136
1781155804,2127745024,2566107136
1781155805,2127769600,2566107136
1781155806,2127417344,2566107136
1781155807,2127429632,2566107136
1781155808,2127454208,2566107136
1781155809,2127433728,2566107136
1781155810,2127527936,2566107136
1781155811,2127552512,2566107136
1781155812,2127572992,2566107136
1781155813,2156871680,2566107136
1781155814,2177445888,2566107136
1781155815,2195705856,2566107136
1781155816,2195730432,2566107136
1781155817,2196267008,2566107136
1781155818,2195828736,2566107136
1781155819,2195828736,2566107136
1781155820,2195841024,2566107136
1781155821,2195591168,2566107136
1781155822,2195611648,2566107136
1781155823,2195619840,2566107136
1781155824,2181799936,2566107136
1781155825,2178387968,2566107136
1781155826,2178404352,2566107136
1781155827,2178433024,2566107136
1781155828,2178445312,2566107136
1781155829,2178711552,2566107136
1781155831,2178699264,2566107136
1781155832,2178936832,2566107136
1781155833,2178990080,2566107136
1781155834,2178502656,2566107136
1781155835,2178342912,2566107136
1781155836,2207240192,2566107136
1781155837,2192797696,2566107136
1781155838,2192846848,2566107136
1781155839,2193907712,2566107136
1781155840,2193264640,2566107136
1781155841,2196926464,2566107136
1781155842,2193149952,2566107136
1781155843,2192887808,2566107136
1781155844,2193186816,2566107136
1781155845,2192850944,2566107136
1781155846,2192863232,2566107136
1781155847,2179592192,2566107136
1781155848,2179051520,2566107136
1781155849,2179088384,2566107136
1781155850,2179883008,2566107136
1781155851,2179694592,2566107136
1781155852,2179469312,2566107136
1781155853,2179747840,2566107136
1781155854,2179239936,2566107136
1781155855,2179796992,2566107136
1781155856,2205392896,2566107136
1781155857,2205483008,2566107136
1781155858,2206928896,2566107136
1781155859,2206388224,2566107136
1781155860,2206396416,2566107136
1781155861,2206416896,2566107136
1781155862,2206445568,2566107136
1781155863,2206466048,2566107136
1781155864,2206490624,2566107136
1781155865,2206511104,2566107136
1781155866,2191912960,2566107136
1781155867,2191929344,2566107136
1781155868,2191314944,2566107136
1781155869,2191007744,2566107136
1781155870,2191020032,2566107136
1781155871,2191052800,2566107136
1781155872,2191073280,2566107136
1781155873,2191085568,2566107136
1781155874,2191052800,2566107136
1781155875,2191265792,2566107136
1781155876,2191286272,2566107136
1781155877,2191319040,2566107136
1781155878,2191323136,2566107136
1781155879,2191331328,2566107136
1781155880,2191376384,2566107136
1781155881,2191405056,2566107136
1781155882,2191425536,2566107136
1781155883,2191437824,2566107136
1781155884,2191462400,2566107136
1781155885,2191216640,2566107136
1781155886,2191491072,2566107136
1781155887,2191257600,2566107136
1781155888,2191630336,2566107136
1781155889,2191400960,2566107136
1781155890,2191654912,2566107136
1781155891,2191446016,2566107136
1781155892,2191450112,2566107136
1781155893,2191474688,2566107136
1781155894,2191495168,2566107136
1781155895,2191765504,2566107136
1781155896,2191548416,2566107136
1781155897,2191548416,2566107136
1781155898,2191577088,2566107136
1781155899,2191597568,2566107136
1781155900,2191609856,2566107136
1781155901,2191642624,2566107136
1781155902,2191572992,2566107136
1781155903,2191589376,2566107136
1781155904,2191630336,2566107136
1781155905,2191654912,2566107136
1781155906,2191945728,2566107136
1781155907,2191699968,2566107136
1781155908,2191720448,2566107136
1781155909,2191732736,2566107136
1781155911,2191765504,2566107136
1781155912,2192297984,2566107136
